Year,Term,Course_ID,Course_Name,Course_Description
2018,Fall,AE 100,Intro to Aerospace Engineering,Aerospace Engineering Course.Introduction to the Aerospace Engineering curriculum and career. Typical section topics include aircraft and rocket design and flight. Overviews of the topics are presented along with theory to be experimentally verified.
2018,Fall,AE 199,Undergraduate Open Seminar,Aerospace Engineering Course.This is a seminar course.Course gives more introduction of Aerospace Engineering.Undergraduate Open Seminar. Approved for Letter and S/U grading. May be repeated.
2018,Fall,AE 202,Aerospace Flight Mechanics,"Aerospace Engineering Course.Fundamental principles of aeroespace flight mechanics applied to spacecraft and aircraft. Orbital mechanics, rocket propulsion, and dynamics and control applied to spacecraft design. Aerodynamics, maneuvering, stability and flight performance applied to aircraft design. MATLAB examples and assignments. Prerequisite: Credit or concurrent registration in TAM 212."
2018,Fall,AE 298,Special Topics,Aerospace Engineering Course.Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites. May be repeated if topics vary.
2018,Fall,AE 311,Incompressible Flow,"Aerospace Engineering Course.Equations of motion for incompressible flow, both inviscid and viscous; potential flow theory, inviscid airfoil theory: two- and three-dimensional, Navier-Stokes equations, laminar boundary layer and transition to turbulence. Prerequisite: Credit or concurrent registration in Aerospace Engineering 202 and MATH 241."
2018,Fall,AE 321,Mechs of Aerospace Structures,"Aerospace Engineering Course.Fundamental concepts in the linear theory of elasticity, including stress, strain, equilibrium, compatibility, material constitution and properties. Failure mechanisms and criteria. Application to plane stress-strain problems, beams in extension and bending, and shafts in torsion. Prerequisite: MATH 285 and TAM 210."
2018,Fall,AE 323,Applied Aerospace Structures,"Aerospace Engineering Course.Fundamental concepts of stress, strain, equilibrium, compatibility, material constitution and properties. Analysis of beams and shafts of monocoque and semi-monocoque construction. Energy methods. Prerequisite: Aerospace Engineering 321, MATH 241, MATH 285, and TAM 210."
2018,Fall,AE 352,Aerospace Dynamical Systems,"Aerospace Engineering Course.Particle kinematics and dynamics; Lagranges equations; vibration of multiple degree-of-freedom systems; rotational kinematics and dynamics of rigid bodies. Credit is not given for both Aerospace Engineering 352 and TAM 412. Prerequisite: MATH 225, MATH 285, and TAM 212."""
2018,Fall,AE 353,Aerospace Control Systems,"Aerospace Engineering Course.Modeling of linear dynamic systems; Laplace transform techniques; linear feedback control systems; stability criteria; design techniques. Credit is not given for both Aerospace Engineering 353 and either GE 320 or Mechanical Engineering 340. Prerequisite: MATH 225, MATH 285, and TAM 212."
2018,Fall,AE 395,Honors Project,Aerospace Engineering Course.Special aerospace engineering project or reading course for James Scholars in engineering. Prerequisite: Consent of instructor.
2018,Fall,AE 396,Honors Seminar,Aerospace Engineering Course.This is a seminar course.Special lecture sequences or discussion groups arranged each term to bring James Scholars in engineering into direct contact with the various aspects of engineering practices and philosophy. Prerequisite: Consent of instructor.
2018,Fall,AE 397,Independent Study,Aerospace Engineering Course.Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.
2018,Fall,AE 402,Orbital Mechanics,"Aerospace Engineering Course.Analysis of orbits in an inverse-square gravitational field; elementary rocket dynamics, impulsive orbit transfer and rendezvous, and Lamberts Theorem with applications; patched-conic trajectories, planetary gravity-assist maneuvers, and linearized orbit theory with application to simplified analytical models; perturbations. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Aerospace Engineering 202."""
